Teams,Average,Totals,Games,2022 Average,YOY,Stadium,Capacity,%_2023_Fill,%_2022_Fill,City,State,2022 Pts,Governor,Approve,Dissaprove,Squad,Age,Foreigners,Market Value,Total market value,Pts 2023,Pts_change_yoy
Sacramento Republic FC,10627,180665,17,9876,0.08,Heart Health Park,11569,0.918575503500735,0.853660644826692,Sacramento,California,53,Gavin Newsom,56,37,28,25.5,14,0.16,4.48,64,20.7547169811321
Louisville City FC,10547,179299,17,10465,0.01,Lynn Family Stadium,15304,0.689166231050706,0.683808154730789,Louisville,Kentucky,72,Andy Beshear,64,32,28,26.4,8,0.192,5.39,50,-30.5555555555556
Indy Eleven,9709,155349,16,8285,0.17,IU Michael A. Carroll Track & Soccer Stadium,10524,0.922557962751805,0.787248194602813,Indianapolis,Indiana,41,Eric Holcomb,55,35,29,25.5,14,0.146,4.23,49,19.5121951219512
New Mexico United,9619,163518,17,10724,-0.1,Rio Grande Credit Union Field at Isotopes Park,13500,0.712518518518519,0.79437037037037,Albuquerque,New Mexico,51,Michelle Lujan Grisham,52,42,28,25.8,8,0.143,4,46,-9.80392156862745
Colorado Springs Switchbacks FC,7753,124044,16,7199,0.08,Weidner Field,8000,0.969125,0.899875,Colorado Springs,Colorado,55,Jared Polis,60,32,27,26.3,14,0.166,4.49,53,-3.63636363636364
San Antonio FC,7325,124522,17,5980,0.22,Toyota Field,8296,0.882955641272903,0.72082931533269,San Antonio,Texas,77,Gregory Abbott,53,42,32,25.1,16,0.214,6.85,56,-27.2727272727273
Detroit City FC,6032,102544,17,6118,-0.01,Keyworth Stadium,7933,0.76036808269255,0.771208874322451,Hamtramck,Michigan,54,Gretchen Whitmer,57,39,21,26.8,10,0.152,3.19,41,-24.0740740740741
Tampa Bay Rowdies,5984,77797,13,5148,0.16,Al Lang Stadium,7227,0.828006088280061,0.712328767123288,St. Petersburg,Florida,67,Ron DeSantis,54,42,23,28,14,0.186,4.28,63,-5.97014925373134
Pittsburgh Riverhounds,5073,76095,15,3934,0.29,Highmark Stadium,5000,1.0146,0.7868,Pittsburgh,Pennsylvania,57,Josh Shapiro,56,28,26,25.2,14,0.14,3.64,67,17.5438596491228
Hartford Athletic,4882,73224,15,5178,-0.06,Trinity Health Stadium,5500,0.887636363636364,0.941454545454545,Hartford,Connecticut,36,Ned Lamont,62,32,25,26,15,0.129,3.24,18,-50
Orange County SC,4411,70568,16,4230,0.04,Championship Soccer Stadium,5000,0.8822,0.846,Irvine,California,34,Gavin Newsom,56,37,26,24.2,7,0.177,4.61,57,67.6470588235294
FC Tulsa,4320,73443,17,4044,0.07,ONEOK Field,7833,0.551512830333206,0.516277288395251,Tulsa,Oklahoma,42,Kevin Stitt,51,40,25,24.4,9,0.158,3.95,39,-7.14285714285714
Monterey Bay FC,3963,67378,17,3683,0.08,Cardinale Stadium,6000,0.6605,0.613833333333333,Seaside,California,40,Gavin Newsom,56,37,22,27.6,7,0.174,3.83,41,2.5
Oakland Roots SC,3894,66196,17,4611,-0.16,Pioneer Stadium,5000,0.7788,0.9222,Oakland,California,46,Gavin Newsom,56,37,29,24.9,13,0.106,3.07,42,-8.69565217391304
Memphis 901 FC,3344,33439,10,3683,-0.09,AutoZone Park,10000,0.3344,0.3683,Memphis,Tennessee,68,Bill Lee,59,32,26,24.5,11,0.193,5.02,52,-23.5294117647059
Charleston Battery,3113,52919,17,2797,0.11,Patriots Point Soccer Complex,5000,0.6226,0.5594,Mount Pleasant,South Carolina,25,Henry McMaster,56,33,26,24.5,11,0.191,4.97,59,136
